Dropped Country,COORD Coefficient,Std Error,P-value,N,R²
Australia,-0.0183,0.1781,0.918,342,0.5382
Austria,-0.0382,0.1458,0.7932,342,0.5325
Belgium,-0.0468,0.1443,0.7456,342,0.532
Canada,-0.0608,0.1451,0.6749,342,0.5102
Denmark,-0.0594,0.1445,0.6811,342,0.513
Finland,-0.0418,0.2271,0.8541,342,0.5019
Germany,-0.0338,0.1485,0.82,342,0.5223
Japan,-0.0609,0.1462,0.6768,343,0.5242
Netherlands,-0.0403,0.137,0.7688,342,0.5347
New Zealand,-0.0583,0.1432,0.684,343,0.523
Norway,-0.049,0.1471,0.739,342,0.5232
South Korea,-0.0349,0.1503,0.8163,342,0.5369
Sweden,-0.0581,0.1426,0.6839,342,0.5111
Switzerland,-0.0535,0.1465,0.7151,342,0.5221
United Kingdom,-0.0666,0.1421,0.6394,342,0.5296
United States,-0.0752,0.1423,0.5975,343,0.5428
